                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  101617911 |   96206652 |   83109568 |   96866312 |  100676116 |   82462924 |   92833284 |   97948392 |  100283724 |   98040484 |   97556000 |   81200660 |  100339780 |   97921364 |   63848352 |   99315760
  Cycles                             |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124 |   54595124
  IPC                                |       1.86 |       1.76 |       1.52 |       1.77 |       1.84 |       1.51 |       1.70 |       1.79 |       1.84 |       1.80 |       1.79 |       1.49 |       1.84 |       1.79 |       1.17 |       1.82
  Time (ns)                          |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483 |   20524483
  Idle time (ns)                     |     102670 |    1139007 |    3633517 |    1011985 |     281994 |    3760429 |    1782943 |     802841 |     363878 |     790626 |     884734 |    4002442 |     351629 |     815001 |    7289563 |     548275
  Idle time (%)                      |       0.5% |       5.5% |      17.7% |       4.9% |       1.4% |      18.3% |       8.7% |       3.9% |       1.8% |       3.9% |       4.3% |      19.5% |       1.7% |       4.0% |      35.5% |       2.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   25169119 |   23816293 |   20542022 |   23981208 |   24933659 |   20380361 |   22972951 |   24251728 |   24835561 |   24274751 |   24153630 |   20064795 |   24849575 |   24244971 |   15726719 |   24593570
  num incorrect                      |        113 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        128 |        127 |        128
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11016 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019 |      11019
    num cache misses                 |         14 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.13% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   51064485 |   48358858 |   41810316 |   48688688 |   50593590 |   41486994 |   46672174 |   49229728 |   50397394 |   49275774 |   49033532 |   40855862 |   50425422 |   49216214 |   32179712 |   49913412
    num cache misses                 |      15685 |      14858 |      12825 |      14957 |      15575 |      12718 |      14328 |      15134 |      15503 |      15154 |      15049 |      12515 |      15518 |      15120 |       9865 |      15336
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16550 |      15866 |      13833 |      15965 |      16585 |      13729 |      15332 |      16141 |      16510 |      16165 |      16061 |      13519 |      16523 |      16125 |      10875 |      16342
    num cache misses                 |      15699 |      14875 |      12842 |      14974 |      15592 |      12735 |      14345 |      15151 |      15520 |      15171 |      15066 |      12532 |      15535 |      15137 |       9882 |      15353
    miss rate                        |     94.86% |     93.75% |     92.84% |     93.79% |     94.01% |     92.76% |     93.56% |     93.87% |     94.00% |     93.85% |     93.80% |     92.70% |     94.02% |     93.87% |     90.87% |     93.95%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16550 |      15866 |      13833 |      15965 |      16585 |      13729 |      15332 |      16141 |      16510 |      16165 |      16061 |      13519 |      16523 |      16125 |      10875 |      16342
    num cache misses                 |       1294 |       1136 |        925 |       1149 |       1285 |        909 |       1154 |       1146 |       1203 |       1158 |       1171 |        926 |       1228 |       1158 |        751 |       1209
    miss rate                        |      7.82% |      7.16% |      6.69% |      7.20% |      7.75% |      6.62% |      7.53% |      7.10% |      7.29% |      7.16% |      7.29% |      6.85% |      7.43% |      7.18% |      6.91% |      7.40%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     134.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      81.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          2 |          4 |          2 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          4 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1240 |       1084 |        879 |       1099 |       1232 |        854 |       1103 |       1094 |       1148 |       1094 |       1122 |        871 |       1174 |       1106 |        687 |       1155
