                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   25698264 |   48398105 |   46770447 |   44723320 |   45839424 |   43697312 |   33743347 |   46863527
  Cycles                             |   27358752 |   27358752 |   27358752 |   27358752 |   27358752 |   27358752 |   27358752 |   27358752
  IPC                                |       0.94 |       1.77 |       1.71 |       1.63 |       1.68 |       1.60 |       1.23 |       1.71
  Time (ns)                          |   10285245 |   10285245 |   10285245 |   10285245 |   10285245 |   10285245 |   10285245 |   10285245
  Idle time (ns)                     |    4381216 |     100230 |     408556 |     797393 |     559141 |     965159 |    2848585 |     368833
  Idle time (%)                      |      42.6% |       1.0% |       4.0% |       7.8% |       5.4% |       9.4% |      27.7% |       3.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    6188949 |   11863880 |   11456957 |   10945187 |   11224218 |   10688684 |    8200204 |   11480223
  num incorrect                      |        113 |        140 |        145 |        135 |        139 |        132 |        136 |        153
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     212046 |     212068 |     212068 |     212063 |     212054 |     212066 |     212048 |     212072
    num cache misses                 |         16 |         15 |         17 |         16 |         16 |         17 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   13104156 |   24454081 |   23640246 |   22616682 |   23174745 |   22103675 |   17126708 |   23686792
    num cache misses                 |       2940 |       5091 |       4846 |       4478 |       6862 |       6592 |       4921 |       6925
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.11 |       0.11 |       0.10 |       0.10 |       0.15 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3960 |       5936 |       5883 |       5515 |       7853 |       7569 |       5906 |       7904
    num cache misses                 |        353 |        593 |        565 |        455 |        954 |        956 |        671 |        965
    miss rate                        |      8.91% |      9.99% |      9.60% |      8.25% |     12.15% |     12.63% |     11.36% |     12.21%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1294 |       1337 |       1174 |       1393 |       1543 |       1319 |        830 |       1501
    num cache misses                 |         15 |          9 |          5 |          9 |          3 |          6 |          3 |          3
    miss rate                        |      1.16% |      0.67% |      0.43% |      0.65% |      0.19% |      0.45% |      0.36% |      0.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      60.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          2 |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
