                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3701323 |    5097752 |    5649247 |    5562216 |    5004634 |    4279953 |    5626279 |    3884540 |    5327989 |    4016645 |    4894489 |    5368965 |    5435062 |    4445074 |    5435062 |    2486098
  Cycles                             |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857 |    3701857
  IPC                                |       1.00 |       1.38 |       1.53 |       1.50 |       1.35 |       1.16 |       1.52 |       1.05 |       1.44 |       1.09 |       1.32 |       1.45 |       1.47 |       1.20 |       1.47 |       0.67
  Time (ns)                          |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676 |    1391676
  Idle time (ns)                     |     533366 |     226123 |     101685 |     118088 |     246106 |     402523 |     103688 |     495094 |     175896 |     463023 |     272103 |     167986 |     153906 |     370711 |     151874 |     800744
  Idle time (%)                      |      38.3% |      16.2% |       7.3% |       8.5% |      17.7% |      28.9% |       7.5% |      35.6% |      12.6% |      33.3% |      19.6% |      12.1% |      11.1% |      26.6% |      10.9% |      57.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     892504 |    1241612 |    1379500 |    1357728 |    1218338 |    1037162 |    1373744 |     938309 |    1299170 |     971341 |    1190809 |    1309428 |    1325945 |    1078448 |    1325945 |     588709
  num incorrect                      |         82 |         84 |         77 |         84 |         82 |         85 |         84 |         84 |         84 |         82 |         80 |         80 |         82 |         82 |         82 |         81
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11010 |      11021 |      11017 |      11019 |      11020 |      11021 |      11022 |      11017 |      11012 |      11012 |      11017 |      11017 |      11017 |      11013
    num cache misses                 |         16 |         17 |         15 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         16 |         16 |         17 |         17 |         17 |         16
    miss rate                        |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1881192 |    2579406 |    2855162 |    2811638 |    2532852 |    2170505 |    2843670 |    1972800 |    2694523 |    2038858 |    2477783 |    2715021 |    2748066 |    2253072 |    2748066 |    1273585
    num cache misses                 |       6015 |       8236 |       9159 |       9128 |       8077 |       7104 |       9179 |       6275 |       8655 |       6537 |       7988 |       8714 |       8886 |       7252 |       8857 |       3996
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.31%
    mpki                             |       1.63 |       1.62 |       1.62 |       1.64 |       1.61 |       1.66 |       1.63 |       1.62 |       1.62 |       1.63 |       1.63 |       1.62 |       1.63 |       1.63 |       1.63 |       1.61
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6803 |       9027 |       9912 |       9894 |       8867 |       7875 |       9976 |       7054 |       9416 |       7306 |       8758 |       9507 |       9671 |       8021 |       9629 |       4781
    num cache misses                 |       6031 |       8253 |       9174 |       9145 |       8094 |       7120 |       9196 |       6292 |       8672 |       6554 |       8004 |       8730 |       8903 |       7269 |       8874 |       4012
    miss rate                        |     88.65% |     91.43% |     92.55% |     92.43% |     91.28% |     90.41% |     92.18% |     89.20% |     92.10% |     89.71% |     91.39% |     91.83% |     92.06% |     90.62% |     92.16% |     83.92%
    mpki                             |       1.63 |       1.62 |       1.62 |       1.64 |       1.62 |       1.66 |       1.63 |       1.62 |       1.63 |       1.63 |       1.64 |       1.63 |       1.64 |       1.64 |       1.63 |       1.61
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6803 |       9027 |       9912 |       9894 |       8867 |       7875 |       9976 |       7054 |       9416 |       7306 |       8758 |       9507 |       9671 |       8021 |       9629 |       4781
    num cache misses                 |        642 |        929 |       1077 |       1101 |        985 |        771 |       1125 |        628 |        975 |        756 |        865 |       1010 |        977 |        799 |       1052 |        430
    miss rate                        |      9.44% |     10.29% |     10.87% |     11.13% |     11.11% |      9.79% |     11.28% |      8.90% |     10.35% |     10.35% |      9.88% |     10.62% |     10.10% |      9.96% |     10.93% |      8.99%
    mpki                             |       0.17 |       0.18 |       0.19 |       0.20 |       0.20 |       0.18 |       0.20 |       0.16 |       0.18 |       0.19 |       0.18 |       0.19 |       0.18 |       0.18 |       0.19 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     181.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     127.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          2 |          3 |          2 |          4 |          2 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        578 |        870 |       1029 |       1048 |        919 |        689 |       1062 |        572 |        915 |        685 |        799 |        951 |        902 |        740 |        987 |        356
