                                     | Core 0     | Core 1    
  Instructions                       |     116932 |     116906
  Cycles                             |     313098 |     313098
  IPC                                |       0.37 |       0.37
  Time (ns)                          |     117706 |     117706
  Idle time (ns)                     |      97562 |      97378
  Idle time (%)                      |      82.9% |      82.7%
Branch predictor stats               |            |           
  num correct                        |      14109 |      14119
  num incorrect                      |         84 |         76
  misprediction rate                 |      0.59% |      0.54%
  mpki                               |       0.72 |       0.65
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12018 |      12010
    num cache misses                 |         15 |         14
    miss rate                        |      0.12% |      0.12%
    mpki                             |       0.13 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |      71585 |      71590
    num cache misses                 |        234 |        206
    miss rate                        |      0.33% |      0.29%
    mpki                             |       2.00 |       1.76
  Cache L2                           |            |           
    num cache accesses               |        260 |        260
    num cache misses                 |         18 |         10
    miss rate                        |      6.92% |      3.85%
    mpki                             |       0.15 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         19 |         13
    num cache misses                 |         18 |         10
    miss rate                        |     94.74% |     76.92%
    mpki                             |       0.15 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         27 |          0
  average dram access latency (ns)   |      95.11 |        inf
  average dram queueing delay        |      41.68 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
