                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     117908 |     120939 |     128865 |     152852 |     128870 |     114915 |     139933 |     128870
  Cycles                             |     409008 |     409008 |     409008 |     409008 |     409008 |     409008 |     409008 |     409008
  IPC                                |       0.29 |       0.30 |       0.32 |       0.37 |       0.32 |       0.28 |       0.34 |       0.32
  Time (ns)                          |     153763 |     153763 |     153763 |     153763 |     153763 |     153763 |     153763 |     153763
  Idle time (ns)                     |     116148 |     114534 |     110680 |     100207 |     110633 |     117304 |     104470 |     110731
  Idle time (%)                      |      75.5% |      74.5% |      72.0% |      65.2% |      72.0% |      76.3% |      67.9% |      72.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      12420 |      12920 |      14241 |      18215 |      14242 |      11935 |      16059 |      14242
  num incorrect                      |         73 |         79 |         83 |        102 |         83 |         64 |        100 |         83
  misprediction rate                 |      0.58% |      0.61% |      0.58% |      0.56% |      0.58% |      0.53% |      0.62% |      0.58%
  mpki                               |       0.62 |       0.65 |       0.64 |       0.67 |       0.64 |       0.56 |       0.71 |       0.64
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11020 |      11021 |      11012 |      11016 |      11012 |      11012 |      11029 |      11012
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.14 |       0.13 |       0.12 |       0.10 |       0.12 |       0.14 |       0.12 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      66484 |      68002 |      71975 |      83958 |      71978 |      65000 |      77485 |      71978
    num cache misses                 |        484 |        513 |        560 |        607 |        565 |        457 |        616 |        560
    miss rate                        |      0.73% |      0.75% |      0.78% |      0.72% |      0.78% |      0.70% |      0.79% |      0.78%
    mpki                             |       4.10 |       4.24 |       4.35 |       3.97 |       4.38 |       3.98 |       4.40 |       4.35
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        550 |        580 |        621 |        687 |        617 |        499 |        665 |        606
    num cache misses                 |        253 |        268 |        298 |        338 |        296 |        265 |        378 |        307
    miss rate                        |     46.00% |     46.21% |     47.99% |     49.20% |     47.97% |     53.11% |     56.84% |     50.66%
    mpki                             |       2.15 |       2.22 |       2.31 |       2.21 |       2.30 |       2.31 |       2.70 |       2.38
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        302 |        317 |        342 |        397 |        327 |        290 |        407 |        335
    num cache misses                 |         11 |          4 |          5 |          7 |          3 |         10 |          7 |          3
    miss rate                        |      3.64% |      1.26% |      1.46% |      1.76% |      0.92% |      3.45% |      1.72% |      0.90%
    mpki                             |       0.09 |       0.03 |       0.04 |       0.05 |       0.02 |       0.09 |       0.05 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      64.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          3 |          3 |          4 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
