                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   46099567 |   47491993 |   46676205 |   48492942 |   42703141 |   41721229 |   47095597 |   47776209
  Cycles                             |   27488798 |   27488798 |   27488798 |   27488798 |   27488798 |   27488798 |   27488798 |   27488798
  IPC                                |       1.68 |       1.73 |       1.70 |       1.76 |       1.55 |       1.52 |       1.71 |       1.74
  Time (ns)                          |   10334135 |   10334135 |   10334135 |   10334135 |   10334135 |   10334135 |   10334135 |   10334135
  Idle time (ns)                     |     550673 |     288334 |     440504 |     100248 |    1253432 |    1438476 |     428176 |     300839
  Idle time (%)                      |       5.3% |       2.8% |       4.3% |       1.0% |      12.1% |      13.9% |       4.1% |       2.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   11289520 |   11637624 |   11433680 |   11887892 |   10440426 |   10194933 |   11538525 |   11708693
  num incorrect                      |        127 |        131 |        128 |        109 |        126 |        131 |        131 |        126
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11022 |      11022 |      11010 |      11012 |      11022 |      11022 |      11012
    num cache misses                 |         16 |         17 |         17 |         15 |         16 |         17 |         17 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   23305314 |   24001529 |   23593635 |   24502014 |   21607114 |   21116147 |   23803331 |   24143648
    num cache misses                 |       7317 |       7577 |       7437 |       7730 |       3243 |       3136 |       3395 |       3405
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.08 |       0.08 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8331 |       8591 |       8454 |       8596 |       4248 |       4145 |       4404 |       4414
    num cache misses                 |       1007 |       1012 |       1069 |        988 |        103 |        142 |        116 |        108
    miss rate                        |     12.09% |     11.78% |     12.64% |     11.49% |      2.42% |      3.43% |      2.63% |      2.45%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1080 |       1040 |       1164 |       1014 |       1060 |       1099 |       1117 |       1020
    num cache misses                 |         11 |          3 |          9 |          3 |          3 |         12 |          4 |          3
    miss rate                        |      1.02% |      0.29% |      0.77% |      0.30% |      0.28% |      1.09% |      0.36% |      0.29%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     115.94 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      62.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          2 |          3 |          5 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
