                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     771518 |     819607 |     767551 |     755540 |     529316 |     837646 |     842627 |     634421 |     786610 |     767550 |     655441 |     739525 |     627456 |     735521 |     648436 |     789575
  Cycles                             |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802 |     816802
  IPC                                |       0.94 |       1.00 |       0.94 |       0.92 |       0.65 |       1.03 |       1.03 |       0.78 |       0.96 |       0.94 |       0.80 |       0.91 |       0.77 |       0.90 |       0.79 |       0.97
  Time (ns)                          |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069 |     307069
  Idle time (ns)                     |     118474 |     106379 |     118490 |     122160 |     177224 |     102989 |     102679 |     152088 |     107646 |     114387 |     140780 |     121336 |     148597 |     121318 |     141889 |     107576
  Idle time (%)                      |      38.6% |      34.6% |      38.6% |      39.8% |      57.7% |      33.5% |      33.4% |      49.5% |      35.1% |      37.3% |      45.8% |      39.5% |      48.4% |      39.5% |      46.2% |      35.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     145021 |     154636 |     144225 |     141823 |      96578 |     158249 |     159243 |     117599 |     148029 |     144225 |     121803 |     138620 |     116211 |     137819 |     120402 |     148630
  num incorrect                      |         89 |         93 |         93 |         93 |         93 |         88 |         90 |         93 |         93 |         93 |         93 |         93 |         88 |         93 |         93 |         93
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.07% |      0.10% |      0.06% |      0.06% |      0.08% |      0.06% |      0.06% |      0.08% |      0.07% |      0.08% |      0.07% |      0.08% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.12 |       0.12 |       0.18 |       0.11 |       0.11 |       0.15 |       0.12 |       0.12 |       0.14 |       0.13 |       0.14 |       0.13 |       0.14 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      12021 |      12021 |      12021 |      12021 |      12021 |      12018 |      12021 |      12021 |      12021 |      12021 |      12021 |      12021 |      12021 |      12021 |      12021
    num cache misses                 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     464336 |     493192 |     461959 |     454753 |     319018 |     504016 |     507004 |     382081 |     473371 |     461959 |     394693 |     445144 |     377902 |     442741 |     390490 |     475174
    num cache misses                 |       2018 |       2146 |       2015 |       1961 |       1413 |       2168 |       2138 |       1664 |       2119 |       2054 |       1785 |       1985 |       1691 |       1960 |       1776 |       2113
    miss rate                        |      0.43% |      0.44% |      0.44% |      0.43% |      0.44% |      0.43% |      0.42% |      0.44% |      0.45% |      0.44% |      0.45% |      0.45% |      0.45% |      0.44% |      0.45% |      0.44%
    mpki                             |       2.62 |       2.62 |       2.63 |       2.60 |       2.67 |       2.59 |       2.54 |       2.62 |       2.69 |       2.68 |       2.72 |       2.68 |       2.70 |       2.66 |       2.74 |       2.68
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2091 |       2233 |       2082 |       2043 |       1491 |       2234 |       2206 |       1741 |       2203 |       2134 |       1871 |       2051 |       1771 |       2029 |       1839 |       2197
    num cache misses                 |       2033 |       2161 |       2030 |       1976 |       1428 |       2183 |       2153 |       1679 |       2134 |       2069 |       1800 |       2000 |       1706 |       1975 |       1791 |       2128
    miss rate                        |     97.23% |     96.78% |     97.50% |     96.72% |     95.77% |     97.72% |     97.60% |     96.44% |     96.87% |     96.95% |     96.21% |     97.51% |     96.33% |     97.34% |     97.39% |     96.86%
    mpki                             |       2.64 |       2.64 |       2.64 |       2.62 |       2.70 |       2.61 |       2.56 |       2.65 |       2.71 |       2.70 |       2.75 |       2.70 |       2.72 |       2.69 |       2.76 |       2.70
