                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1242873 |    1456125 |    1156827 |    1320987 |    1324995 |    1392057 |    1497120 |    1448157
  Cycles                             |    1989249 |    1989249 |    1989249 |    1989249 |    1989249 |    1989249 |    1989249 |    1989249
  IPC                                |       0.62 |       0.73 |       0.58 |       0.66 |       0.67 |       0.70 |       0.75 |       0.73
  Time (ns)                          |     747838 |     747838 |     747838 |     747838 |     747838 |     747838 |     747838 |     747838
  Idle time (ns)                     |     206055 |     114106 |     243454 |     172941 |     171449 |     142762 |     100291 |     119768
  Idle time (%)                      |      27.6% |      15.3% |      32.6% |      23.1% |      22.9% |      19.1% |      13.4% |      16.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     189376 |     224915 |     175032 |     202392 |     203060 |     214237 |     231770 |     223594
  num incorrect                      |        111 |        115 |        115 |        115 |        115 |        115 |         96 |        108
  misprediction rate                 |      0.06% |      0.05% |      0.07% |      0.06% |      0.06% |      0.05% |      0.04% |      0.05%
  mpki                               |       0.09 |       0.08 |       0.10 |       0.09 |       0.09 |       0.08 |       0.06 |       0.07
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11021 |      11021 |      11021 |      11021 |      11010 |      11021
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |      0.15%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     651467 |     758095 |     608446 |     690526 |     692530 |     726061 |     778603 |     754111
    num cache misses                 |       5508 |       6374 |       5086 |       5797 |       5803 |       6102 |       6363 |       6295
    miss rate                        |      0.85% |      0.84% |      0.84% |      0.84% |      0.84% |      0.84% |      0.82% |      0.83%
    mpki                             |       4.43 |       4.38 |       4.40 |       4.39 |       4.38 |       4.38 |       4.25 |       4.35
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5557 |       6461 |       5159 |       5865 |       5906 |       6206 |       6459 |       6410
    num cache misses                 |       3233 |       4024 |       2840 |       3365 |       3144 |       3273 |       3455 |       3429
    miss rate                        |     58.18% |     62.28% |     55.05% |     57.37% |     53.23% |     52.74% |     53.49% |     53.49%
    mpki                             |       2.60 |       2.76 |       2.45 |       2.55 |       2.37 |       2.35 |       2.31 |       2.37
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3239 |       4067 |       2862 |       3390 |       3205 |       3342 |       3499 |       3513
    num cache misses                 |         15 |          3 |          6 |          4 |          4 |          3 |          4 |          9
    miss rate                        |      0.46% |      0.07% |      0.21% |      0.12% |      0.12% |      0.09% |      0.11% |      0.26%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      63.69 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2 |          3 |          2 |          2 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
