                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     219976 |     222220 |     223344 |     226135 |     226760 |     223639 |     225468 |     225878 |     225481 |     226842 |     219529 |     225437 |     226776 |     223603 |     225002 |     227116
  Cycles                             |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278 |   12543278
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518 |    4715518
  Idle time (ns)                     |    4575803 |    4571655 |    4569541 |    4565933 |    4564756 |    4568512 |    4566987 |    4563603 |    4565739 |    4564137 |    4573918 |    4565144 |    4565382 |    4568437 |    4565795 |    4563485
  Idle time (%)                      |      97.0% |      96.9% |      96.9% |      96.8% |      96.8% |      96.9% |      96.9% |      96.8% |      96.8% |      96.8% |      97.0% |      96.8% |      96.8% |      96.9% |      96.8% |      96.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19947 |      19990 |      20075 |      20159 |      20215 |      20058 |      20136 |      20085 |      20092 |      20189 |      19909 |      20152 |      20204 |      20074 |      20124 |      20153
  num incorrect                      |        468 |        594 |        591 |        712 |        732 |        626 |        690 |        773 |        729 |        744 |        469 |        667 |        712 |        621 |        670 |        801
  misprediction rate                 |      2.29% |      2.89% |      2.86% |      3.41% |      3.49% |      3.03% |      3.31% |      3.71% |      3.50% |      3.55% |      2.30% |      3.20% |      3.40% |      3.00% |      3.22% |      3.82%
  mpki                               |       2.13 |       2.67 |       2.65 |       3.15 |       3.23 |       2.80 |       3.06 |       3.42 |       3.23 |       3.28 |       2.14 |       2.96 |       3.14 |       2.78 |       2.98 |       3.53
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      34804 |      35335 |      35625 |      36330 |      36439 |      35700 |      36144 |      36234 |      36160 |      36473 |      34714 |      36146 |      36493 |      35630 |      36028 |      36523
    num cache misses                 |         22 |         23 |         23 |         22 |         21 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         24
    miss rate                        |      0.06% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     132341 |     132855 |     133138 |     133799 |     134004 |     133203 |     133639 |     133727 |     133637 |     133969 |     132247 |     133633 |     133967 |     133153 |     133531 |     134029
    num cache misses                 |       1268 |       1427 |       1565 |       1911 |       1863 |       1582 |       1807 |       1834 |       1796 |       1904 |       1258 |       1787 |       1853 |       1559 |       1754 |       1875
    miss rate                        |      0.96% |      1.07% |      1.18% |      1.43% |      1.39% |      1.19% |      1.35% |      1.37% |      1.34% |      1.42% |      0.95% |      1.34% |      1.38% |      1.17% |      1.31% |      1.40%
    mpki                             |       5.76 |       6.42 |       7.01 |       8.45 |       8.22 |       7.07 |       8.01 |       8.12 |       7.97 |       8.39 |       5.73 |       7.93 |       8.17 |       6.97 |       7.80 |       8.26
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1816 |       1978 |       2167 |       2607 |       2486 |       2176 |       2461 |       2513 |       2432 |       2573 |       1817 |       2451 |       2518 |       2172 |       2416 |       2515
    num cache misses                 |       1290 |       1450 |       1588 |       1933 |       1884 |       1605 |       1830 |       1857 |       1819 |       1927 |       1281 |       1810 |       1876 |       1582 |       1777 |       1899
    miss rate                        |     71.04% |     73.31% |     73.28% |     74.15% |     75.78% |     73.76% |     74.36% |     73.90% |     74.79% |     74.89% |     70.50% |     73.85% |     74.50% |     72.84% |     73.55% |     75.51%
    mpki                             |       5.86 |       6.53 |       7.11 |       8.55 |       8.31 |       7.18 |       8.12 |       8.22 |       8.07 |       8.49 |       5.84 |       8.03 |       8.27 |       7.08 |       7.90 |       8.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
