                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     289192 |     358296 |     380337 |     337254 |     353304 |     326242 |     239127 |     366348
  Cycles                             |     481808 |     481808 |     481808 |     481808 |     481808 |     481808 |     481808 |     481808
  IPC                                |       0.60 |       0.74 |       0.79 |       0.70 |       0.73 |       0.68 |       0.50 |       0.76
  Time (ns)                          |     181131 |     181131 |     181131 |     181131 |     181131 |     181131 |     181131 |     181131
  Idle time (ns)                     |     118330 |     104788 |     100252 |     107954 |     109675 |     114598 |     132175 |     105889
  Idle time (%)                      |      65.3% |      57.9% |      55.3% |      59.6% |      60.5% |      63.3% |      73.0% |      58.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      59412 |      76704 |      82218 |      71429 |      75462 |      68677 |      46894 |      78685
  num incorrect                      |        131 |        119 |        118 |        131 |        113 |        131 |        129 |        145
  misprediction rate                 |      0.22% |      0.15% |      0.14% |      0.18% |      0.15% |      0.19% |      0.27% |      0.18%
  mpki                               |       0.45 |       0.33 |       0.31 |       0.39 |       0.32 |       0.40 |       0.54 |       0.40
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      14048 |      14042 |      14046 |      14048 |      14042 |      14046 |      14047 |      14058
    num cache misses                 |         16 |         17 |         15 |         17 |         17 |         17 |         18 |         17
    miss rate                        |      0.11% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.13% |      0.12%
    mpki                             |       0.06 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.08 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     152115 |     186675 |     197702 |     176152 |     184179 |     170647 |     127085 |     190697
    num cache misses                 |        541 |        667 |        666 |        634 |        540 |        495 |        380 |        587
    miss rate                        |      0.36% |      0.36% |      0.34% |      0.36% |      0.29% |      0.29% |      0.30% |      0.31%
    mpki                             |       1.87 |       1.86 |       1.75 |       1.88 |       1.53 |       1.52 |       1.59 |       1.60
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        643 |        744 |        738 |        734 |        664 |        631 |        523 |        700
    num cache misses                 |        185 |        171 |        181 |        183 |        126 |        106 |        100 |        143
    miss rate                        |     28.77% |     22.98% |     24.53% |     24.93% |     18.98% |     16.80% |     19.12% |     20.43%
    mpki                             |       0.64 |       0.48 |       0.48 |       0.54 |       0.36 |       0.32 |       0.42 |       0.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        231 |        196 |        226 |        233 |        231 |        212 |        213 |        233
    num cache misses                 |         16 |          3 |          3 |          4 |          9 |          4 |          7 |          3
    miss rate                        |      6.93% |      1.53% |      1.33% |      1.72% |      3.90% |      1.89% |      3.29% |      1.29%
    mpki                             |       0.06 |       0.01 |       0.01 |       0.01 |       0.03 |       0.01 |       0.03 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     116.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      63.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          2 |          2 |          4 |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
