                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1414036 |    1413957 |    1413855 |    1413975 |    1413980 |    1413983 |    1413919 |    1414005
  Cycles                             |   49752684 |   49752684 |   49752684 |   49752684 |   49752684 |   49752684 |   49752684 |   49752684
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   18704017 |   18704017 |   18704017 |   18704017 |   18704017 |   18704017 |   18704017 |   18704017
  Idle time (ns)                     |   17314454 |   17300504 |   17305563 |   17317204 |   17363005 |   17358885 |   17331867 |   17345976
  Idle time (%)                      |      92.6% |      92.5% |      92.5% |      92.6% |      92.8% |      92.8% |      92.7% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     111987 |     111984 |     111970 |     111986 |     111988 |     111977 |     111985 |     111977
  num incorrect                      |         27 |         24 |         28 |         22 |         20 |         33 |         19 |         35
  misprediction rate                 |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     222012 |     222001 |     221979 |     222011 |     222009 |     222002 |     221998 |     222009
    num cache misses                 |         22 |         23 |         22 |         22 |         21 |         23 |         22 |         23
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     949040 |     949023 |     948986 |     949022 |     949024 |     949016 |     949010 |     949031
    num cache misses                 |       3016 |       3011 |       3001 |       3014 |       3015 |       3011 |       3011 |       3014
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       2.13 |       2.13 |       2.12 |       2.13 |       2.13 |       2.13 |       2.13 |       2.13
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4341 |       5010 |       4964 |       4236 |       4036 |       4029 |       4032 |       4035
    num cache misses                 |       1249 |       1311 |       1156 |       1207 |       2174 |       2214 |       1208 |       1758
    miss rate                        |     28.77% |     26.17% |     23.29% |     28.49% |     53.87% |     54.95% |     29.96% |     43.57%
    mpki                             |       0.88 |       0.93 |       0.82 |       0.85 |       1.54 |       1.57 |       0.85 |       1.24
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1863 |       3266 |       3046 |       1610 |       3174 |       3071 |       1319 |       2222
    num cache misses                 |         11 |         16 |          4 |          4 |          4 |         18 |          4 |          5
    miss rate                        |      0.59% |      0.49% |      0.13% |      0.25% |      0.13% |      0.59% |      0.30% |      0.23%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         65 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     108.67 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      55.24 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          7 |          3 |          3 |          3 |          5 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
