                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43861125 |   45147479 |   42261496 |   45600916 |   43013951 |   36009319 |   44831061 |   42553854
  Cycles                             |   27375244 |   27375244 |   27375244 |   27375244 |   27375244 |   27375244 |   27375244 |   27375244
  IPC                                |       1.60 |       1.65 |       1.54 |       1.67 |       1.57 |       1.32 |       1.64 |       1.55
  Time (ns)                          |   10291445 |   10291445 |   10291445 |   10291445 |   10291445 |   10291445 |   10291445 |   10291445
  Idle time (ns)                     |     438851 |     201206 |     749745 |     100263 |     534672 |    1973772 |     153503 |     632292
  Idle time (%)                      |       4.3% |       2.0% |       7.3% |       1.0% |       5.2% |      19.2% |       1.5% |       6.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    8604494 |    8861768 |    8284577 |    8952482 |    8435071 |    7034130 |    8798490 |    8343037
  num incorrect                      |        138 |        136 |        137 |        115 |        134 |        142 |        137 |        142
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210018 |     210021 |     210012 |     210010 |     210012 |     210021 |     210012 |     210021
    num cache misses                 |         15 |         15 |         15 |         14 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   26436902 |   27208717 |   25477145 |   27480796 |   25928618 |   21725821 |   27018884 |   25652542
    num cache misses                 |      93739 |      96374 |      90522 |      97449 |      92692 |      77242 |      95584 |      91085
    miss rate                        |      0.35% |      0.35% |      0.36% |      0.35% |      0.36% |      0.36% |      0.35% |      0.36%
    mpki                             |       2.14 |       2.13 |       2.14 |       2.14 |       2.15 |       2.15 |       2.13 |       2.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      93799 |      96437 |      90589 |      97499 |      92724 |      77273 |      95612 |      91109
    num cache misses                 |      49489 |      50358 |      47429 |      51174 |      51303 |      41822 |      54707 |      50743
    miss rate                        |     52.76% |     52.22% |     52.36% |     52.49% |     55.33% |     54.12% |     57.22% |     55.69%
    mpki                             |       1.13 |       1.12 |       1.12 |       1.12 |       1.19 |       1.16 |       1.22 |       1.19
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      49524 |      50395 |      47466 |      51203 |      51305 |      41824 |      54709 |      50745
    num cache misses                 |         15 |          9 |          4 |          6 |          3 |          6 |          3 |          3
    miss rate                        |      0.03% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         46 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     113.72 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      60.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          2 |          3 |          2 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
