                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3384521 |    3647737 |    3372492 |    3139245 |    3375647 |    3375547 |    3657726 |    3129335 |    3270357 |    3096299 |    3619752 |    2479809 |    2733909 |    3463702 |    3425557 |    3097205
  Cycles                             |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329 |    2795329
  IPC                                |       1.21 |       1.30 |       1.21 |       1.12 |       1.21 |       1.21 |       1.31 |       1.12 |       1.17 |       1.11 |       1.29 |       0.89 |       0.98 |       1.24 |       1.23 |       1.11
  Time (ns)                          |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876 |    1050876
  Idle time (ns)                     |     166142 |     105986 |     172833 |     231405 |     171976 |     169310 |     101698 |     234044 |     184268 |     229602 |     107110 |     383829 |     314832 |     141845 |     147566 |     230423
  Idle time (%)                      |      15.8% |      10.1% |      16.4% |      22.0% |      16.4% |      16.1% |       9.7% |      22.3% |      17.5% |      21.8% |      10.2% |      36.5% |      30.0% |      13.5% |      14.0% |      21.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     653015 |     705656 |     650614 |     603993 |     651293 |     651242 |     707671 |     602042 |     630175 |     595435 |     700071 |     472146 |     522914 |     668897 |     661232 |     595585
  num incorrect                      |        296 |        300 |        293 |        271 |        245 |        276 |        283 |        240 |        305 |        240 |        288 |        224 |        276 |        252 |        288 |        271
  misprediction rate                 |      0.05% |      0.04% |      0.05% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.04% |      0.04% |      0.05% |      0.05% |      0.04% |      0.04% |      0.05%
  mpki                               |       0.09 |       0.08 |       0.09 |       0.09 |       0.07 |       0.08 |       0.08 |       0.08 |       0.09 |       0.08 |       0.08 |       0.09 |       0.10 |       0.07 |       0.08 |       0.09
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30018 |      30021 |      30021 |      30012 |      30021 |      30021 |      30016 |      30012 |      30021 |      30012 |      30021 |      30021 |      30021 |      30021 |      30021 |      30012
