                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     152970 |     162906 |     162850 |     138942 |     183818 |     165905 |     155831 |     159923 |     177893 |     152916 |     162871 |     162827 |     137935 |     177905 |     142876 |     157895
  Cycles                             |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478 |     478478
  IPC                                |       0.32 |       0.34 |       0.34 |       0.29 |       0.38 |       0.35 |       0.33 |       0.33 |       0.37 |       0.32 |       0.34 |       0.34 |       0.29 |       0.37 |       0.30 |       0.33
  Time (ns)                          |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879 |     179879
  Idle time (ns)                     |     117577 |     111071 |     110351 |     123483 |     101704 |     109550 |     113830 |     112604 |     103562 |     115255 |     109966 |     110160 |     123921 |     103132 |     120062 |     111682
  Idle time (%)                      |      65.4% |      61.7% |      61.3% |      68.6% |      56.5% |      60.9% |      63.3% |      62.6% |      57.6% |      64.1% |      61.1% |      61.2% |      68.9% |      57.3% |      66.7% |      62.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18243 |      19884 |      19884 |      15914 |      23362 |      20380 |      18719 |      19392 |      22368 |      18229 |      19877 |      19876 |      15746 |      22370 |      16574 |      19049
  num incorrect                      |         93 |        110 |        105 |         86 |        121 |        114 |        100 |        105 |        124 |        100 |        112 |        109 |         86 |        124 |         86 |        110
  misprediction rate                 |      0.51% |      0.55% |      0.53% |      0.54% |      0.52% |      0.56% |      0.53% |      0.54% |      0.55% |      0.55% |      0.56% |      0.55% |      0.54% |      0.55% |      0.52% |      0.57%
  mpki                               |       0.61 |       0.68 |       0.64 |       0.62 |       0.66 |       0.69 |       0.64 |       0.66 |       0.70 |       0.65 |       0.69 |       0.67 |       0.62 |       0.70 |       0.60 |       0.70
