                                     | Core 0     | Core 1    
  Instructions                       |     406887 |     378936
  Cycles                             |     617183 |     617183
  IPC                                |       0.66 |       0.61
  Time (ns)                          |     232024 |     232024
  Idle time (ns)                     |      97314 |     102022
  Idle time (%)                      |      41.9% |      44.0%
Branch predictor stats               |            |           
  num correct                        |      68461 |      61464
  num incorrect                      |        265 |        276
  misprediction rate                 |      0.39% |      0.45%
  mpki                               |       0.65 |       0.73
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      32016 |      32024
    num cache misses                 |         14 |         17
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     233473 |     219500
    num cache misses                 |        731 |        972
    miss rate                        |      0.31% |      0.44%
    mpki                             |       1.80 |       2.57
  Cache L2                           |            |           
    num cache accesses               |       1418 |       1422
    num cache misses                 |         16 |         14
    miss rate                        |      1.13% |      0.98%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         17 |         17
    num cache misses                 |         16 |         14
    miss rate                        |     94.12% |     82.35%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.69 |        inf
  average dram queueing delay        |      43.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
