                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   24141717 |   42949472 |   43123592 |   41672529 |   20423921 |   41818269 |   37865325 |   38016471 |   34258725 |   29838303 |   34356890 |   36249776 |   37537993 |   36456974 |   26464935 |   28789310
  Cycles                             |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906 |   55384906
  IPC                                |       0.44 |       0.78 |       0.78 |       0.75 |       0.37 |       0.76 |       0.68 |       0.69 |       0.62 |       0.54 |       0.62 |       0.65 |       0.68 |       0.66 |       0.48 |       0.52
  Time (ns)                          |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393 |   20821393
  Idle time (ns)                     |    8691505 |     140106 |     101753 |     687379 |   10550724 |     604965 |    2378365 |    2295656 |    3674270 |    5777562 |    3635990 |    2745712 |    2011652 |    2640789 |    7378168 |    6263398
  Idle time (%)                      |      41.7% |       0.7% |       0.5% |       3.3% |      50.7% |       2.9% |      11.4% |      11.0% |      17.6% |      27.7% |      17.5% |      13.2% |       9.7% |      12.7% |      35.4% |      30.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3900901 |    7035526 |    7064547 |    6822722 |    3281279 |    6847012 |    6188183 |    6213368 |    5587077 |    4850346 |    5603424 |    5918916 |    6133630 |    5953454 |    4288123 |    4675510
  num incorrect                      |         60 |         63 |         65 |         47 |         54 |         47 |         52 |         58 |         58 |         52 |         68 |         57 |         49 |         52 |         47 |         52
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11010 |      11012 |      11014 |      11012 |      11012 |      11012 |      11012 |      11012 |      11021 |      11021 |      11012 |      11021 |      11012 |      11021
    num cache misses                 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12325889 |   21729766 |   21816835 |   21091304 |   10466998 |   21164174 |   19187702 |   19263275 |   17384402 |   15174191 |   17433475 |   18379918 |   19024040 |   18483517 |   13487507 |   14649685
    num cache misses                 |     110846 |     195599 |     194416 |     191558 |      91995 |     192760 |     175011 |     175835 |     160278 |     139106 |     160796 |     169770 |     177415 |     171429 |     123335 |     134339
    miss rate                        |      0.90% |      0.90% |      0.89% |      0.91% |      0.88% |      0.91% |      0.91% |      0.91% |      0.92% |      0.92% |      0.92% |      0.92% |      0.93% |      0.93% |      0.91% |      0.92%
    mpki                             |       4.59 |       4.55 |       4.51 |       4.60 |       4.50 |       4.61 |       4.62 |       4.63 |       4.68 |       4.66 |       4.68 |       4.68 |       4.73 |       4.70 |       4.66 |       4.67
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     110878 |     195631 |     194451 |     191586 |      92025 |     192786 |     175039 |     175867 |     160309 |     139134 |     160827 |     169802 |     177444 |     171458 |     123363 |     134370
    num cache misses                 |     110862 |     195615 |     194431 |     191574 |      92011 |     192776 |     175027 |     175851 |     160294 |     139122 |     160812 |     169786 |     177431 |     171445 |     123351 |     134355
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.98% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |       4.59 |       4.55 |       4.51 |       4.60 |       4.51 |       4.61 |       4.62 |       4.63 |       4.68 |       4.66 |       4.68 |       4.68 |       4.73 |       4.70 |       4.66 |       4.67
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     110878 |     195631 |     194451 |     191586 |      92025 |     192786 |     175039 |     175867 |     160309 |     139134 |     160827 |     169802 |     177444 |     171458 |     123363 |     134370
    num cache misses                 |      58044 |      92727 |      93800 |      91172 |      48050 |      93080 |      89474 |      89350 |      84239 |      72363 |      84969 |      90682 |      97641 |      91854 |      64353 |      69639
    miss rate                        |     52.35% |     47.40% |     48.24% |     47.59% |     52.21% |     48.28% |     51.12% |     50.81% |     52.55% |     52.01% |     52.83% |     53.40% |     55.03% |     53.57% |     52.17% |     51.83%
    mpki                             |       2.40 |       2.16 |       2.18 |       2.19 |       2.35 |       2.23 |       2.36 |       2.35 |       2.46 |       2.43 |       2.47 |       2.50 |       2.60 |       2.52 |       2.43 |       2.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         71 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     135.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      82.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          2 |          3 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      26918 |      43221 |      43544 |      42782 |      22385 |      43115 |      41451 |      41877 |      39110 |      34072 |      39209 |      41025 |      41640 |      41231 |      30029 |      32854
