                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     424150 |     309073 |     339033 |     424189 |     402098 |     386081 |     424170 |     355119
  Cycles                             |     500932 |     500932 |     500932 |     500932 |     500932 |     500932 |     500932 |     500932
  IPC                                |       0.85 |       0.62 |       0.68 |       0.85 |       0.80 |       0.77 |       0.85 |       0.71
  Time (ns)                          |     188320 |     188320 |     188320 |     188320 |     188320 |     188320 |     188320 |     188320
  Idle time (ns)                     |     101654 |     123019 |     118525 |     101236 |     104387 |     107295 |     100226 |     113032
  Idle time (%)                      |      54.0% |      65.3% |      62.9% |      53.8% |      55.4% |      57.0% |      53.2% |      60.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      93408 |      64637 |      72142 |      93432 |      87908 |      83904 |      93451 |      76153
  num incorrect                      |        134 |        138 |        133 |        125 |        133 |        133 |        106 |        133
  misprediction rate                 |      0.14% |      0.21% |      0.18% |      0.13% |      0.15% |      0.16% |      0.11% |      0.17%
  mpki                               |       0.32 |       0.45 |       0.39 |       0.29 |       0.33 |       0.34 |       0.25 |       0.37
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11022 |      11012 |      11018 |      11012 |      11012 |      11011 |      11022
    num cache misses                 |         16 |         17 |         16 |         17 |         16 |         16 |         15 |         17
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |      0.15%
    mpki                             |       0.04 |       0.06 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     220104 |     162569 |     177560 |     220132 |     209092 |     201084 |     220124 |     185591
    num cache misses                 |        629 |        485 |        508 |        619 |        669 |        655 |        699 |        622
    miss rate                        |      0.29% |      0.30% |      0.29% |      0.28% |      0.32% |      0.33% |      0.32% |      0.34%
    mpki                             |       1.48 |       1.57 |       1.50 |       1.46 |       1.66 |       1.70 |       1.65 |       1.75
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        768 |        629 |        639 |        762 |        807 |        785 |        799 |        744
    num cache misses                 |        145 |        158 |        116 |        146 |        154 |        173 |        179 |        186
    miss rate                        |     18.88% |     25.12% |     18.15% |     19.16% |     19.08% |     22.04% |     22.40% |     25.00%
    mpki                             |       0.34 |       0.51 |       0.34 |       0.34 |       0.38 |       0.45 |       0.42 |       0.52
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        250 |        259 |        207 |        237 |        222 |        240 |        246 |        244
    num cache misses                 |          9 |          4 |          4 |         18 |          3 |          3 |          3 |          5
    miss rate                        |      3.60% |      1.54% |      1.93% |      7.59% |      1.35% |      1.25% |      1.22% |      2.05%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.04 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     114.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      61.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          2 |          5 |          2 |          3 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
