                                     | Core 0     | Core 1    
  Instructions                       |     441629 |     371644
  Cycles                             |     609469 |     609469
  IPC                                |       0.72 |       0.61
  Time (ns)                          |     229124 |     229124
  Idle time (ns)                     |      97361 |     107697
  Idle time (%)                      |      42.5% |      47.0%
Branch predictor stats               |            |           
  num correct                        |      64480 |      50485
  num incorrect                      |        252 |        252
  misprediction rate                 |      0.39% |      0.50%
  mpki                               |       0.57 |       0.68
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      30016 |      30021
    num cache misses                 |         13 |         15
    miss rate                        |      0.04% |      0.05%
    mpki                             |       0.03 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     277203 |     235216
    num cache misses                 |       1303 |       1138
    miss rate                        |      0.47% |      0.48%
    mpki                             |       2.95 |       3.06
  Cache L2                           |            |           
    num cache accesses               |       1428 |       1431
    num cache misses                 |         15 |         13
    miss rate                        |      1.05% |      0.91%
    mpki                             |       0.03 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         16 |         16
    num cache misses                 |         15 |         13
    miss rate                        |     93.75% |     81.25%
    mpki                             |       0.03 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         27 |          0
  average dram access latency (ns)   |      86.71 |        inf
  average dram queueing delay        |      33.29 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
