                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     224372 |     226297 |     223780 |     222275 |     225398 |     223875 |     223899 |     223057
  Cycles                             |    6550779 |    6550779 |    6550779 |    6550779 |    6550779 |    6550779 |    6550779 |    6550779
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    2462699 |    2462699 |    2462699 |    2462699 |    2462699 |    2462699 |    2462699 |    2462699
  Idle time (ns)                     |    2321316 |    2319884 |    2323280 |    2326255 |    2314793 |    2319119 |    2318210 |    2321813
  Idle time (%)                      |      94.3% |      94.2% |      94.3% |      94.5% |      94.0% |      94.2% |      94.1% |      94.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      20053 |      20228 |      20030 |      20075 |      20064 |      20046 |      20052 |      20039
  num incorrect                      |        698 |        690 |        667 |        509 |        772 |        661 |        650 |        608
  misprediction rate                 |      3.36% |      3.30% |      3.22% |      2.47% |      3.71% |      3.19% |      3.14% |      2.94%
  mpki                               |       3.11 |       3.05 |       2.98 |       2.29 |       3.43 |       2.95 |       2.90 |       2.73
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      35865 |      36318 |      35733 |      35363 |      36125 |      35782 |      35806 |      35554
    num cache misses                 |         22 |         21 |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     133398 |     133896 |     133224 |     132862 |     133662 |     133288 |     133294 |     133064
    num cache misses                 |       1342 |       1420 |       1345 |       1192 |       1387 |       1299 |       1280 |       1239
    miss rate                        |      1.01% |      1.06% |      1.01% |      0.90% |      1.04% |      0.97% |      0.96% |      0.93%
    mpki                             |       5.98 |       6.27 |       6.01 |       5.36 |       6.15 |       5.80 |       5.72 |       5.55
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1682 |       1820 |       1701 |       1484 |       1831 |       1704 |       1723 |       1615
    num cache misses                 |        780 |        868 |        749 |        647 |        785 |        667 |        666 |        632
    miss rate                        |     46.37% |     47.69% |     44.03% |     43.60% |     42.87% |     39.14% |     38.65% |     39.13%
    mpki                             |       3.48 |       3.84 |       3.35 |       2.91 |       3.48 |       2.98 |       2.97 |       2.83
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        950 |       1125 |        955 |        808 |       1101 |        917 |        956 |        852
    num cache misses                 |         12 |          4 |         15 |         15 |          5 |         14 |          4 |          4
    miss rate                        |      1.26% |      0.36% |      1.57% |      1.86% |      0.45% |      1.53% |      0.42% |      0.47%
    mpki                             |       0.05 |       0.02 |       0.07 |       0.07 |       0.02 |       0.06 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         62 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     126.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      72.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          5 |          3 |          3 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
