                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     107993 |      96903 |     116868 |      75923
  Cycles                             |     348667 |     348667 |     348667 |     348667
  IPC                                |       0.31 |       0.28 |       0.34 |       0.22
  Time (ns)                          |     131078 |     131078 |     131078 |     131078
  Idle time (ns)                     |     101813 |     107425 |      98951 |     116008
  Idle time (%)                      |      77.7% |      82.0% |      75.5% |      88.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      10780 |       8942 |      12257 |       5472
  num incorrect                      |         61 |         51 |         67 |         23
  misprediction rate                 |      0.56% |      0.57% |      0.54% |      0.42%
  mpki                               |       0.56 |       0.53 |       0.57 |       0.30
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      11020 |      11021 |      11010 |      11020
    num cache misses                 |         16 |         16 |         15 |         17
    miss rate                        |      0.15% |      0.15% |      0.14% |      0.15%
    mpki                             |       0.15 |       0.17 |       0.13 |       0.22
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      61522 |      55984 |      65977 |      45491
    num cache misses                 |        340 |        297 |        354 |        181
    miss rate                        |      0.55% |      0.53% |      0.54% |      0.40%
    mpki                             |       3.15 |       3.06 |       3.03 |       2.38
  Cache L2                           |            |            |            |           
    num cache accesses               |        388 |        332 |        385 |        224
    num cache misses                 |         14 |          3 |          3 |         16
    miss rate                        |      3.61% |      0.90% |      0.78% |      7.14%
    mpki                             |       0.13 |       0.03 |       0.03 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |         16 |          5 |          5 |         18
    num cache misses                 |         14 |          3 |          3 |         16
    miss rate                        |     87.50% |     60.00% |     60.00% |     88.89%
    mpki                             |       0.13 |       0.03 |       0.03 |       0.21
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     134.44 |        inf |        inf |        inf
  average dram queueing delay        |      81.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          2 |          2 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
