                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   53825334 |   96082660 |   72953494 |  100358967 |   81217768 |   94308881 |   94503033 |  101104739 |   83508042 |   97488085 |   61321900 |   81075654 |   97581123 |   89223842 |   93576184 |   95601147
  Cycles                             |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970 |   54355970
  IPC                                |       0.99 |       1.77 |       1.34 |       1.85 |       1.49 |       1.74 |       1.74 |       1.86 |       1.54 |       1.79 |       1.13 |       1.49 |       1.80 |       1.64 |       1.72 |       1.76
  Time (ns)                          |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575 |   20434575
  Idle time (ns)                     |    9125465 |    1060932 |    5475807 |     238829 |    3895422 |    1397428 |    1359223 |     101702 |    3467755 |     795932 |    7692186 |    3932432 |     777274 |    2377231 |    1546556 |    1157744
  Idle time (%)                      |      44.7% |       5.2% |      26.8% |       1.2% |      19.1% |       6.8% |       6.7% |       0.5% |      17.0% |       3.9% |      37.6% |      19.2% |       3.8% |      11.6% |       7.6% |       5.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   13220727 |   23785015 |   18002756 |   24854089 |   20068813 |   23341587 |   23390132 |   25040530 |   20641394 |   24136371 |   15094847 |   20033283 |   24159640 |   22070308 |   23158392 |   23664642
  num incorrect                      |        105 |        148 |        116 |        147 |        130 |        132 |        128 |        147 |        119 |        146 |        125 |        130 |        141 |        149 |        149 |        145
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
