                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     212036 |     212062 |     212044 |     212072 |     212054 |     212060 |     212052 |     212072 |     212050 |     212068 |     212048 |     212058 |     212056 |     212066 |     212070 |     212056
    num cache misses                 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   27167693 |   48296357 |   36731776 |   50434508 |   40863913 |   47409468 |   47506546 |   50807393 |   42009051 |   48999068 |   30915978 |   40792855 |   49045590 |   44866951 |   47043117 |   48055602
    num cache misses                 |       8372 |      15111 |      11369 |      15773 |      12719 |      14839 |      14846 |      15891 |      13091 |      15347 |       9559 |      12692 |      15348 |      13995 |      14703 |      15037
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9388 |      16119 |      12376 |      16783 |      13725 |      15844 |      15859 |      16780 |      14096 |      16349 |      10569 |      13697 |      16356 |      14999 |      15708 |      16038
    num cache misses                 |       8388 |      15127 |      11386 |      15789 |      12735 |      14855 |      14862 |      15906 |      13107 |      15363 |       9576 |      12708 |      15364 |      14011 |      14719 |      15053
    miss rate                        |     89.35% |     93.85% |     92.00% |     94.08% |     92.79% |     93.76% |     93.71% |     94.79% |     92.98% |     93.97% |     90.60% |     92.78% |     93.93% |     93.41% |     93.70% |     93.86%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9388 |      16119 |      12376 |      16783 |      13725 |      15844 |      15859 |      16780 |      14096 |      16349 |      10569 |      13697 |      16356 |      14999 |      15708 |      16038
    num cache misses                 |        648 |       1276 |        910 |       1433 |       1110 |       1247 |       1324 |       1319 |        927 |       1376 |        793 |        920 |       1348 |       1025 |       1152 |       1199
    miss rate                        |      6.90% |      7.92% |      7.35% |      8.54% |      8.09% |      7.87% |      8.35% |      7.86% |      6.58% |      8.42% |      7.50% |      6.72% |      8.24% |      6.83% |      7.33% |      7.48%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     139.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          2 |          3 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          2 |          4 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        587 |       1215 |        857 |       1360 |       1047 |       1177 |       1267 |       1258 |        865 |       1297 |        725 |        854 |       1284 |        945 |       1083 |       1137
