                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   24980350 |   26568862 |   22897475 |   26236556
  Cycles                             |   13822863 |   13822863 |   13822863 |   13822863
  IPC                                |       1.81 |       1.92 |       1.66 |       1.90
  Time (ns)                          |    5196565 |    5196565 |    5196565 |    5196565
  Idle time (ns)                     |     337529 |      99043 |     649880 |     148224
  Idle time (%)                      |       6.5% |       1.9% |      12.5% |       2.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    4828345 |    5146058 |    4411757 |    5079569
  num incorrect                      |        132 |        128 |        141 |        143
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.00 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210018 |     210011 |     210029 |     210031
    num cache misses                 |         15 |         14 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15108437 |   16061558 |   13858695 |   15862143
    num cache misses                 |      41539 |      41979 |      36472 |      41293
    miss rate                        |      0.27% |      0.26% |      0.26% |      0.26%
    mpki                             |       1.66 |       1.58 |       1.59 |       1.57
  Cache L2                           |            |            |            |           
    num cache accesses               |      41576 |      42018 |      36525 |      41341
    num cache misses                 |          8 |          3 |         17 |          7
    miss rate                        |      0.02% |      0.01% |      0.05% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         10 |          5 |         18 |          9
    num cache misses                 |          8 |          3 |         17 |          7
    miss rate                        |     80.00% |     60.00% |     94.44% |     77.78%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         34 |          0 |          0 |          0
  average dram access latency (ns)   |     110.16 |        inf |        inf |        inf
  average dram queueing delay        |      56.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
