                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1414012 |    1414041 |    1414033 |    1414041 |    1413717 |    1414005 |    1414041 |    1414041 |    1414041 |    1414069 |    1413979 |    1413928 |    1413937 |    1413997 |    1414041 |    1413973
  Cycles                             |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028 |   98029028
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018 |   36853018
  Idle time (ns)                     |   35487825 |   35510355 |   35518072 |   35503462 |   35495261 |   35504522 |   35507623 |   35475286 |   35502460 |   35512633 |   35502433 |   35493698 |   35477756 |   35506500 |   35511482 |   35505544
  Idle time (%)                      |      96.3% |      96.4% |      96.4% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.4% |      96.3% |      96.3% |      96.3% |      96.3% |      96.4% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     111983 |     111988 |     111983 |     111988 |     111958 |     111984 |     111992 |     111992 |     111992 |     111991 |     111990 |     111974 |     111973 |     111974 |     111992 |     111971
  num incorrect                      |         29 |         27 |         26 |         27 |         30 |         28 |         23 |         23 |         23 |         21 |         19 |         32 |         32 |         32 |         23 |         36
  misprediction rate                 |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     222005 |     222021 |     222007 |     222021 |     221928 |     222012 |     222024 |     222024 |     222024 |     222019 |     222014 |     221993 |     221992 |     221995 |     222024 |     221993
    num cache misses                 |         22 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         23 |         22 |         22 |         21 |         23 |         23 |         23
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     949032 |     949045 |     949030 |     949045 |     948939 |     949035 |     949049 |     949049 |     949049 |     949044 |     949027 |     949005 |     949006 |     949016 |     949049 |     949013
    num cache misses                 |       4611 |       3959 |       3240 |       4015 |       4274 |       3921 |       4097 |       5017 |       4018 |       3937 |       4014 |       4357 |       4949 |       3905 |       4018 |       3941
    miss rate                        |      0.49% |      0.42% |      0.34% |      0.42% |      0.45% |      0.41% |      0.43% |      0.53% |      0.42% |      0.41% |      0.42% |      0.46% |      0.52% |      0.41% |      0.42% |      0.42%
    mpki                             |       3.26 |       2.80 |       2.29 |       2.84 |       3.02 |       2.77 |       2.90 |       3.55 |       2.84 |       2.78 |       2.84 |       3.08 |       3.50 |       2.76 |       2.84 |       2.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6399 |       5787 |       4341 |       5172 |       5864 |       5085 |       6119 |       7041 |       5041 |       5878 |       5036 |       6153 |       6962 |       5406 |       6042 |       5298
    num cache misses                 |       4633 |       3982 |       3263 |       4038 |       4297 |       3944 |       4120 |       5040 |       4041 |       3960 |       4036 |       4379 |       4970 |       3928 |       4041 |       3964
    miss rate                        |     72.40% |     68.81% |     75.17% |     78.07% |     73.28% |     77.56% |     67.33% |     71.58% |     80.16% |     67.37% |     80.14% |     71.17% |     71.39% |     72.66% |     66.88% |     74.82%
    mpki                             |       3.28 |       2.82 |       2.31 |       2.86 |       3.04 |       2.79 |       2.91 |       3.56 |       2.86 |       2.80 |       2.85 |       3.10 |       3.52 |       2.78 |       2.86 |       2.80
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6399 |       5787 |       4341 |       5172 |       5864 |       5085 |       6119 |       7041 |       5041 |       5878 |       5036 |       6153 |       6962 |       5406 |       6042 |       5298
    num cache misses                 |       3978 |       2702 |        538 |       2137 |       3168 |       1967 |       3168 |       5005 |       2007 |       2785 |       2004 |       3485 |       4883 |       2277 |       3008 |       2216
    miss rate                        |     62.17% |     46.69% |     12.39% |     41.32% |     54.02% |     38.68% |     51.77% |     71.08% |     39.81% |     47.38% |     39.79% |     56.64% |     70.14% |     42.12% |     49.78% |     41.83%
    mpki                             |       2.81 |       1.91 |       0.38 |       1.51 |       2.24 |       1.39 |       2.24 |       3.54 |       1.42 |       1.97 |       1.42 |       2.46 |       3.45 |       1.61 |       2.13 |       1.57
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         96 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     155.42 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.99 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          3 |          6 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2366 |       1747 |        305 |       1134 |       1866 |       1053 |       2082 |       3000 |       1002 |       1842 |       1000 |       2128 |       2934 |       1376 |       2000 |       1270
