                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1901317 |    1933204 |    1930289 |    2094201 |    2172147 |    2120226 |    2085304 |    1994245
  Cycles                             |    1576151 |    1576151 |    1576151 |    1576151 |    1576151 |    1576151 |    1576151 |    1576151
  IPC                                |       1.21 |       1.23 |       1.22 |       1.33 |       1.38 |       1.35 |       1.32 |       1.27
  Time (ns)                          |     592538 |     592538 |     592538 |     592538 |     592538 |     592538 |     592538 |     592538
  Idle time (ns)                     |     155041 |     149497 |     152819 |     111561 |     100237 |     110875 |     115630 |     135233
  Idle time (%)                      |      26.2% |      25.2% |      25.8% |      18.8% |      16.9% |      18.7% |      19.5% |      22.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     356466 |     362807 |     362248 |     394982 |     410536 |     400191 |     393207 |     375003
  num incorrect                      |        204 |        242 |        218 |        273 |        307 |        269 |        262 |        249
  misprediction rate                 |      0.06% |      0.07% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
  mpki                               |       0.11 |       0.13 |       0.11 |       0.13 |       0.14 |       0.13 |       0.13 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      30018 |      30021 |      30021 |      30012 |      30010 |      30012 |      30021 |      30027
    num cache misses                 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         16
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1153016 |    1172152 |    1170403 |    1268768 |    1315534 |    1284383 |    1263412 |    1208767
    num cache misses                 |       4853 |       4881 |       4855 |       5305 |       5440 |       5310 |       5304 |       5083
    miss rate                        |      0.42% |      0.42% |      0.41% |      0.42% |      0.41% |      0.41% |      0.42% |      0.42%
    mpki                             |       2.55 |       2.52 |       2.52 |       2.53 |       2.50 |       2.50 |       2.54 |       2.55
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5062 |       5143 |       5111 |       5535 |       5702 |       5538 |       5503 |       5320
    num cache misses                 |       2666 |       2745 |       2656 |       3184 |       2848 |       2870 |       2844 |       2823
    miss rate                        |     52.67% |     53.37% |     51.97% |     57.52% |     49.95% |     51.82% |     51.68% |     53.06%
    mpki                             |       1.40 |       1.42 |       1.38 |       1.52 |       1.31 |       1.35 |       1.36 |       1.42
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2806 |       2887 |       2789 |       3324 |       2980 |       2972 |       2928 |       2925
    num cache misses                 |         16 |          3 |          4 |          3 |          3 |          3 |          3 |         12
    miss rate                        |      0.57% |      0.10% |      0.14% |      0.09% |      0.10% |      0.10% |      0.10% |      0.41%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     106.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      53.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          2 |          2 |          2 |          2 |          2 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
